ingre_no,ingre_name,ingre_en_name,ingre_allergy
630,청동호박,NULL,0
631,청양고추,NULL,0
632,청어알,NULL,0
633,청장,NULL,0
634,청정원국선생,NULL,0
635,청정원굴소스,NULL,0
636,청정원맛선생,NULL,0
637,청정원순창쌈장,NULL,0
638,청정원어장,NULL,0
639,청주,NULL,0
640,청포묵,NULL,0
641,청피망,NULL,0
642,체리,NULL,0
643,체리알,NULL,0
644,초고추장,NULL,0
645,초밥,NULL,0
646,초생강,NULL,0
647,초콜릿,NULL,0
648,총각무,NULL,0
649,춘권피,NULL,0
650,춘장,NULL,0
651,취나물,NULL,0
652,치자,NULL,0
653,치즈,NULL,0
654,치즈가루,NULL,0
655,치커리,NULL,0
656,칠리,NULL,0
657,"칠리 소스",NULL,0
658,카레,NULL,0
659,카레가루,NULL,0
660,칵테일새우,NULL,1
661,칼국수,NULL,0
662,칼국수면,NULL,0
663,캐슈넛,NULL,0
664,컬리플라워,NULL,0
665,케이퍼,NULL,0
666,케일,NULL,0
667,케첩,NULL,1
668,코다리,NULL,0
669,콘프레이크,NULL,0
670,콘플레이크,NULL,0
671,콩,NULL,1
672,콩가루,NULL,0
673,콩기름,NULL,0
674,콩나물,NULL,0
675,콩비지,NULL,0
676,크림수프,NULL,0
677,크림치즈,NULL,0
678,큰느타리버섯,NULL,0
679,키위,NULL,0
680,타바스코,NULL,0
681,타임,NULL,0
682,탄산수,NULL,0
683,탄산음료,NULL,0
684,토란,NULL,0
685,토란탕,NULL,0
686,토마토,NULL,1
687,토마토소스,NULL,1
688,토마토케찹,NULL,1
689,토마토케첩,NULL,1
690,토마토페스트,NULL,1
691,토마토페이스트,NULL,1
692,톳,NULL,0
693,통계피,NULL,0
694,통깨,NULL,0
695,통도라지,NULL,0
696,통마늘,NULL,0
697,통북어,NULL,0
698,통생강,NULL,0
699,통파,NULL,0
700,통후추,NULL,0
701,튀김가루,NULL,0
702,튀김기름,NULL,0
703,트레비소,NULL,0
704,트레비스,NULL,0
705,파,NULL,0
706,파래,NULL,0
707,파마르산치즈,NULL,0
708,파마산치즈,NULL,0
709,파마산치즈가루,NULL,0
710,파마산치즈치즈,NULL,0
711,파뿌리,NULL,0
712,파스타,NULL,0
713,파슬리,NULL,0
714,파슬리가루,NULL,0
715,파인애플,NULL,0
716,파파야,NULL,0
717,파프리카,NULL,0
718,팔각,NULL,0
719,팥,NULL,0
720,팥삶은물,NULL,0
721,팽이버섯,NULL,0
722,페스토소스,NULL,0
723,페투치네,NULL,0
