id,food_no,ingre_no
1735,148,390
1736,148,423
1737,148,476
1738,148,553
1739,148,675
1740,148,724
1741,148,731
1742,148,1021
1743,148,1062
1744,148,1127
1745,148,180
1746,148,180
1747,148,1079
1748,148,1087
1749,148,585
1750,148,848
1751,148,548
1752,148,920
1753,148,594
1754,148,80
1755,148,81
1756,148,586
1757,148,880
1758,148,1146
1759,149,81
1760,149,82
1761,149,192
1762,149,193
1763,149,263
1764,149,265
1765,149,326
1766,149,362
1767,149,503
1768,149,548
1769,149,1062
1770,149,803
1771,149,962
1772,149,1058
1773,149,1072
1774,150,132
1775,150,133
1776,150,204
1777,150,414
1778,150,592
1779,150,769
1780,150,815
1781,150,920
1782,151,574
1783,151,921
1784,151,164
1785,151,222
1786,151,313
1787,151,1062
1788,151,275
1789,151,920
1790,151,80
1791,151,81
1792,151,265
1793,151,586
1794,151,880
1795,152,164
1796,152,192
1797,152,231
1798,152,265
1799,152,815
1800,153,81
1801,153,105
1802,153,164
1803,153,192
1804,153,231
1805,153,265
1806,153,270
1807,153,363
1808,153,711
1809,153,731
1810,153,962
1811,153,187
1812,154,354
1813,154,354
1814,154,389
1815,154,574
1816,154,921
1817,154,76
1818,154,222
1819,154,279
1820,154,313
1821,154,377
1822,154,381
1823,154,539
1824,154,553
1825,154,724
1826,154,725
1827,154,731
1828,154,769
1829,154,982
1830,154,418
1831,154,158
1832,154,95
1833,154,130
1834,154,920
1835,154,512
1836,154,80
1837,154,969
1838,154,81
1839,154,658
1840,155,15
1841,155,80
1842,155,81
1843,155,114
1844,155,135
1845,155,574
1846,155,912
1847,155,920
1848,155,1071
1849,156,60
1850,156,191
1851,156,192
1852,156,231
1853,156,270
1854,156,478
1855,156,731
1856,156,1060
1857,156,1146
1858,157,389
1859,157,574
1860,157,276
1861,157,921
1862,157,76
1863,157,222
1864,157,313
1865,157,675
1866,157,731
1867,157,1062
1868,157,1093
1869,157,180
1870,157,332
1871,157,275
1872,157,920
1873,157,16
1874,157,80
1875,157,81
1876,157,586
1877,157,658
1878,157,56
1879,157,55
1880,158,180
1881,158,192
1882,158,586
1883,158,711
1884,158,731
1885,158,784
1886,158,920
1887,158,1055
1888,158,1131
1889,159,16
1890,159,80
1891,159,81
1892,159,136
1893,159,192
1894,159,334
1895,159,362
1896,159,658
1897,159,731
1898,159,779
1899,159,920
1900,160,574
1901,160,185
1902,160,921
1903,161,81
1904,161,199
1905,161,231
1906,161,779
1907,161,920
1908,161,1055
1909,162,574
1910,162,921
1911,162,313
1912,162,199
1913,162,1062
1914,162,920
1915,162,81
1916,162,658
1917,162,731
1918,162,476
1919,163,776
1920,163,23
1921,163,389
1922,163,574
1923,163,222
1924,163,487
1925,163,724
1926,163,1071
1927,163,1127
1928,163,302
1929,163,504
1930,163,204
1931,163,318
1932,163,586
1933,164,389
1934,164,574
1935,164,1127
1936,164,230
1937,164,586
1938,165,270
1939,165,222
1940,165,313
1941,165,377
1942,165,476
1943,165,731
1944,165,1062
1945,165,1079
1946,165,1087
1947,165,204
1948,165,363
1949,165,52
1950,165,546
1951,165,187
1952,165,963
1953,165,16
1954,165,586
1955,165,1146
1956,165,76
1957,165,880
1958,166,204
1959,166,231
1960,166,386
1961,166,657
1962,166,912
1963,166,1048
1964,167,136
1965,167,204
1966,167,222
1967,167,414
1968,167,586
1969,167,657
1970,167,731
1971,167,920
1972,167,1052
1973,167,1118
1974,167,1127
1975,167,1148
1976,168,16
1977,168,270
1978,168,332
1979,168,386
1980,168,731
1981,168,779
1982,168,962
1983,168,1055
1984,168,1131
1985,168,1146
1986,169,389
1987,169,574
1988,169,313
1989,169,204
1990,169,1020
1991,169,16
1992,169,880
1993,169,1146
1994,170,196
1995,170,204
1996,170,363
1997,170,586
1998,170,920
1999,170,187
2000,171,16
2001,171,204
2002,171,231
2003,171,275
2004,171,1055
2005,172,204
2006,172,777
2007,172,784
2008,172,1020
2009,172,586
2010,173,81
2011,173,105
2012,173,135
2013,173,334
2014,173,920
2015,173,1021
2016,174,81
2017,174,185
2018,174,192
2019,174,231
2020,174,265
2021,174,270
2022,174,360
2023,174,386
2024,174,711
2025,174,731
2026,174,962
2027,175,16
2028,175,81
2029,175,332
2030,175,362
2031,175,920
2032,175,1055
2033,176,208
2034,176,213
2035,176,318
2036,176,586
2037,176,654
2038,176,725
2039,176,731
2040,176,980
2041,176,1025
2042,176,1048
2043,176,1119
2044,176,1146
2045,177,208
2046,177,213
2047,177,304
2048,177,318
2049,177,504
2050,177,731
2051,178,231
2052,178,313
2053,178,208
2054,178,213
2055,178,1093
2056,178,487
2057,178,788
2058,178,16
2059,178,112
2060,178,779
2061,178,610
2062,179,16
2063,179,64
2064,179,80
2065,179,81
2066,179,137
2067,179,192
2068,179,215
2069,179,222
2070,179,231
2071,179,288
2072,179,326
2073,179,389
2074,179,574
2075,179,586
2076,179,724
2077,179,731
2078,179,990
2079,179,1055
2080,179,1146
2081,180,16
2082,180,152
2083,180,207
2084,180,313
2085,180,574
2086,180,1071
2087,180,1148
2088,181,16
2089,181,81
2090,181,192
2091,181,208
2092,181,213
2093,181,231
2094,181,265
2095,181,326
